quinto,クイント,KU I N TO
﻿distribution,ディストリビューション,DE i SU TO RI BI yu - SI yo N
﻿dispatch,ディスパッチ,DE i SU PA tsu TI
﻿dispatcher,ディスパッチャ,DE i SU PA tsu TI ya
﻿display,ディスプレイ,DE i SU PU RE I
﻿displacement,ディスプレースメント,DE i SU PU RE - SU ME N TO
﻿dispenser,ディスペンサー,DE i SU PE N SA -
﻿disposer,ディスポーザー,DE i SU PO - ZA -
﻿dissolve,ディゾルブ,DE i ZO RU BU
﻿dip,ディップ,DE i tsu PU
﻿detail,ディテール,DE i TE - RU
﻿detector,ディテクター,DE i TE KU TA -
﻿dinner,ディナー,DE i NA -
﻿dinner jacket,ディナージャケット,DE i NA - ZI ya KE tsu TO
﻿dinner suit,ディナースーツ,DE i NA - SU - TU
﻿dinner set,ディナーセット,DE i NA - SE tsu TO
﻿dinner dress,ディナードレス,DE i NA - DO RE SU
﻿dinner party,ディナーパーティー,DE i NA - PA - TE i -
﻿device,ディバイス,DE i BA I SU
﻿debugger,ディバッガ,DE i BA tsu GA
﻿debug,ディバッグ,DE i BA tsu GU
﻿differentiation,ディファレンシエーション,DE i HU a RE N SI E - SI yo N
﻿differential gear,ディファレンシャルギア,DE i HU a RE N SI ya RU GI A
﻿definition,ディフィニション,DE i HU i NI SI yo N
﻿defense,ディフェンス,DE i HU e N SU
﻿Defender Plan,ディフェンダープラン,DE i HU e N DA - PU RA N
﻿default,ディフォールト,DE i HU o - RU TO
﻿depletion,ディプリーション,DE i PU RI - SI yo N
﻿diploma,ディプロマ,DE i PU RO MA
﻿debate,ディベート,DE i BE - TO
﻿divertimento,ディベルティメント,DE i BE RU TE i ME N TO
﻿developer,ディベロッパー,DE i BE RO tsu PA -
﻿divot,ディボット,DE i BO tsu TO
﻿dimension,ディメンション,DE i ME N SI yo N
﻿delay,ディレイ,DE i RE I
﻿deregulation,ディレギュレーション,DE i RE GI yu RE - SI yo N
﻿director,ディレクター,DE i RE KU TA -
﻿directory,ディレクトリ,DE i RE KU TO RI
﻿directory,ディレクトリィ,DE i RE KU TO RI i
﻿dilettantism,ディレッタンティズム,DE i RE tsu TA N TE i ZU MU
﻿dinghy,ディンギー,DE i N GI -
﻿dimple,ディンプル,DE i N PU RU
﻿day pack,デイパック,DE I PA tsu KU
﻿day bed,デイベッド,DE I BE tsu DO
﻿daily news,デイリーニュース,DE I RI - NI yu - SU
﻿Deus,デウス,DE U SU
﻿decanter,デカンター,DE KA N TA -
﻿Dixie,デキシー,DE KI SI -
﻿Dixieland,デキシーランド,DE KI SI - RA N DO
﻿declamation,デクラメーション,DE KU RA ME - SI yo N
﻿decrement,デクリメント,DE KU RI ME N TO
﻿degree,デグリー,DE GU RI -
﻿decoder,デコーダ,DE KO - DA
﻿decoding,デコーディング,DE KO - DE i N GU
﻿decode,デコード,DE KO - DO
﻿decoy,デコイ,DE KO I
﻿decoration,デコレーション,DE KO RE - SI yo N
﻿decompiler,デコンパイラ,DE KO N PA I RA
﻿dessert,デザート,DE ZA - TO
﻿dessert wine,デザートワイン,DE ZA - TO WA I N
﻿desire,デザイア,DE ZA I A
﻿designer,デザイナー,DE ZA I NA -
﻿design,デザイン,DE ZA I N
﻿design promoter,デザインプロモーター,DE ZA I N PU RO MO - TA -
﻿decision,デシジョン,DE SI ZI yo N
﻿decision room,デシジョンルーム,DE SI ZI yo N RU - MU
﻿death education,デスエデュケーション,DE SU E DE yu KE - SI yo N
﻿desk,デスク,DE SU KU
﻿desk plan,デスクプラン,DE SU KU PU RA N
﻿description,デスクリプション,DE SU KU RI PU SI yo N
﻿desk work,デスクワーク,DE SU KU WA - KU
﻿destination,デスティネーション,DE SU TE i NE - SI yo N
﻿desperate,デスペレート,DE SU PE RE - TO
﻿despotism,デスポティズム,DE SU PO TE i ZU MU
﻿death mask,デスマスク,DE SU MA SU KU
﻿deterrent gap,デタレントギャップ,DE TA RE N TO GI ya tsu PU
﻿deck,デッキ,DE tsu KI
﻿deck chair,デッキチェア,DE tsu KI TI e A
﻿detail,デテール,DE TE - RU
﻿detector,デテクター,DE TE KU TA -
﻿dedication,デディケーション,DE DE i KE - SI yo N
﻿dedicate,デディケート,DE DE i KE - TO
﻿denier,デニール,DE NI - RU
﻿denim,デニム,DE NI MU
﻿denotational,デノテーショナル,DE NO TE - SI yo NA RU
﻿denotation,デノテーション,DE NO TE - SI yo N
﻿device,デバイス,DE BA I SU
﻿debug,デバッグ,DE BA tsu GU
﻿departure,デパーチャー,DE PA - TI ya -
﻿department,デパートメント,DE PA - TO ME N TO
﻿department store,デパートメントストア,DE PA - TO ME N TO SU TO A
﻿debut,デビュー,DE BI yu -
﻿devilfish,デビルフィッシュ,DE BI RU HU i tsu SI yu
﻿de facto,デファクト,DE HU a KU TO
﻿definition,デフィニション,DE HU i NI SI yo N
﻿default,デフォルト,DE HU o RU TO
﻿deflation,デフレーション,DE HU RE - SI yo N
﻿defroster,デフロスター,DE HU RO SU TA -
﻿chubby,デブ,DE BU
﻿debris,デブリ,DE BU RI
﻿depression,デプレッション,DE PU RE tsu SI yo N
﻿depot,デポー,DE PO -
﻿deposit,デポジット,DE PO ZI tsu TO
﻿demand,デマンド,DE MA N DO
﻿demand bus,デマンドバス,DE MA N DO BA SU
﻿Deming,デミング,DE MI N GU
﻿demerit,デメリット,DE ME RI tsu TO
﻿demo,デモ,DE MO
﻿devilish,デモーニッシュ,DE MO - NI tsu SI yu
﻿democracy,デモクラシー,DE MO KU RA SI -
﻿democrat,デモクラット,DE MO KU RA tsu TO
﻿democratic,デモクラティック,DE MO KU RA TE i tsu KU
﻿demographic,デモグラフィック,DE MO GU RA HU i tsu KU
﻿demonstration,デモンストレーション,DE MO N SU TO RE - SI yo N
﻿demonstrator,デモンストレーター,DE MO N SU TO RE - TA -
﻿duplicate,デュープリケート,DE yu - PU RI KE - TO
﻿dualism,デュアリズム,DE yu A RI ZU MU
﻿dual,デュアル,DE yu A RU
﻿dual coat,デュアルコート,DE yu A RU KO - TO
﻿dual system,デュアルシステム,DE yu A RU SI SU TE MU
﻿duet,デュエット,DE yu E tsu TO
﻿duo,デュオ,DE yu O
﻿duplicate,デュプリケート,DE yu PU RI KE - TO
﻿duration,デュレイション,DE yu RE I SI yo N
﻿derived,デライブド,DE RA I BU DO
﻿deluxe,デラックス,DE RA tsu KU SU
﻿delete,デリート,DE RI - TO
﻿delta,デルタ,DE RU TA
﻿Denver,デンバー,DE N BA -
﻿Denver,デンヴァー,DE N VU a -
﻿toe,トー,TO -
﻿toe kick,トーキック,TO - KI tsu KU
﻿talk,トーク,TO - KU
﻿talk show,トークショー,TO - KU SI yo -
﻿token,トークン,TO - KU N
﻿Tokay,トーケイ,TO - KE I
﻿Togo,トーゴ,TO - GO
﻿toeshoes,トーシューズ,TO - SI yu - ZU
﻿toaster,トースター,TO - SU TA -
﻿toast,トースト,TO - SU TO
﻿toe dance,トーダンス,TO - DA N SU
﻿torch,トーチ,TO - TI
﻿tote bag,トートバッグ,TO - TO BA tsu GU
﻿tonal,トーナル,TO - NA RU
﻿Taurus,トーラス,TO - RA SU
﻿toll,トール,TO - RU
﻿tollgate,トールゲート,TO - RU GE - TO
﻿tone,トーン,TO - N
﻿tone down,トーンダウン,TO - N DA U N
﻿toilet,トイレット,TO I RE tsu TO
﻿toilet case,トイレットケース,TO I RE tsu TO KE - SU
﻿toilet soap,トイレットソープ,TO I RE tsu TO SO - PU
﻿toilet powder,トイレットパウダー,TO I RE tsu TO PA U DA -
﻿together,トゥギャザー,TO u GI ya ZA -
﻿toe,トウ,TO U
﻿toxoplasma,トキソプラズマ,TO KI SO PU RA ZU MA
﻿toggle,トグル,TO GU RU
﻿toggle switch,トグルスイッチ,TO GU RU SU I tsu TI
﻿tosser,トサー,TO SA -
﻿toss,トス,TO SU
﻿topper,トッパー,TO tsu PA -
﻿topping,トッピング,TO tsu PI N GU
﻿toffy,トッフィー,TO tsu HU i -
﻿top,トップ,TO tsu PU
﻿top gear,トップギア,TO tsu PU GI A
﻿top class,トップクラス,TO tsu PU KU RA SU
﻿top group,トップグループ,TO tsu PU GU RU - PU
﻿topcoat,トップコート,TO tsu PU KO - TO
﻿top condition,トップコンディション,TO tsu PU KO N DE i SI yo N
﻿top secret,トップシークレット,TO tsu PU SI - KU RE tsu TO
﻿top scene,トップシーン,TO tsu PU SI - N
﻿top star,トップスター,TO tsu PU SU TA -
﻿top spin,トップスピン,TO tsu PU SU PI N
﻿top seller,トップセラー,TO tsu PU SE RA -
﻿top down,トップダウン,TO tsu PU DA U N
﻿top news,トップニュース,TO tsu PU NI yu - SU
﻿top hat,トップハット,TO tsu PU HA tsu TO
﻿top fashion,トップファッション,TO tsu PU HU a tsu SI yo N
﻿top ball,トップボール,TO tsu PU BO - RU
﻿topless,トップレス,TO tsu PU RE SU
﻿top lady,トップレディー,TO tsu PU RE DE i -
﻿toner,トナー,TO NA -
﻿tony tie,トニータイ,TO NI - TA I
﻿tonic,トニック,TO NI tsu KU
﻿tonic water,トニックウォーター,TO NI tsu KU U o - TA -
﻿topaz,トパーズ,TO PA - ZU
﻿topic,トピック,TO PI tsu KU
﻿topics,トピックス,TO PI tsu KU SU
﻿topic news,トピックニュース,TO PI tsu KU NI yu - SU
﻿toffy,トフィー,TO HU i -
﻿tomahawk,トマホーク,TO MA HO - KU
﻿tommy gun,トミーガン,TO MI - GA N
﻿tomography,トモグラフィー,TO MO GU RA HU i -
﻿try,トライ,TO RA I
﻿triathlon,トライアスロン,TO RA I A SU RO N
﻿triad,トライアド,TO RA I A DO
﻿trial,トライアル,TO RA I A RU
﻿trial and error,トライアルアンドエラー,TO RA I A RU A N DO E RA -
﻿triangle,トライアングル,TO RA I A N GU RU
﻿dry cut,ドライカット,DO RA I KA tsu TO
﻿tricycle,トライシクル,TO RA I SI KU RU
﻿trijet,トライジェット,TO RA I ZI e tsu TO
﻿Tristar,トライスター,TO RA I SU TA -
﻿Trident,トライデント,TO RA I DE N TO
﻿tractor,トラクター,TO RA KU TA -
﻿tragic,トラジック,TO RA ZI tsu KU
﻿truss,トラス,TO RA SU
﻿drastic,ドラスチック,DO RA SU TI tsu KU
﻿trust,トラスト,TO RA SU TO
﻿trucking,トラッキング,TO RA tsu KI N GU
﻿truck,トラック,TO RA tsu KU
﻿truck farm,トラックファーム,TO RA tsu KU HU a - MU
﻿trackman,トラックマン,TO RA tsu KU MA N
﻿trash,トラッシュ,TO RA tsu SI yu
﻿trad,トラッド,TO RA tsu DO
﻿trapping,トラッピング,TO RA tsu PI N GU
﻿trap,トラップ,TO RA tsu PU
﻿traditional,トラディショナル,TO RA DE i SI yo NA RU
﻿tradition,トラディション,TO RA DE i SI yo N
﻿traverse,トラバース,TO RA BA - SU
﻿work,トラバーユ,TO RA BA - YU
﻿trough,トラフ,TO RA HU
﻿traffic,トラフィック,TO RA HU i tsu KU
﻿traffic builder,トラフィックビルダー,TO RA HU i tsu KU BI RU DA -
﻿travel watch,トラベルウォッチ,TO RA BE RU U o tsu TI
﻿travel agency,トラベルエージェンシー,TO RA BE RU E - ZI e N SI -
﻿trunks,トランクス,TO RA N KU SU
﻿trunk room,トランクルーム,TO RA N KU RU - MU
﻿transaction,トランザクション,TO RA N ZA KU SI yo N
﻿transceiver,トランシーバー,TO RA N SI - BA -
﻿transit,トランシット,TO RA N SI tsu TO
﻿transistor glamour,トランジスターグラマー,TO RA N ZI SU TA - GU RA MA -
﻿transit,トランジット,TO RA N ZI tsu TO
﻿transcription,トランスクリプション,TO RA N SU KU RI PU SI yo N
﻿Transputer,トランスピュータ,TO RA N SU PI yu - TA
﻿transfer,トランスファ,TO RA N SU HU a
﻿transfer machine,トランスファーマシーン,TO RA N SU HU a - MA SI - N
﻿transformation,トランスフォーメーション,TO RA N SU HU o - ME - SI yo N
﻿transparency,トランスペアレンシー,TO RA N SU PE A RE N SI -
﻿transportation,トランスポーテーション,TO RA N SU PO - TE - SI yo N
﻿transport,トランスポート,TO RA N SU PO - TO
﻿transponder,トランスポンダー,TO RA N SU PO N DA -
﻿transmission,トランスミッション,TO RA N SU MI tsu SI yo N
﻿transmitter,トランスミッター,TO RA N SU MI tsu TA -
﻿translation,トランスレーション,TO RA N SU RE - SI yo N
﻿translator,トランスレータ,TO RA N SU RE - TA
﻿translate,トランスレート,TO RA N SU RE - TO
﻿trumpeter,トランペッター,TO RA N PE tsu TA -
﻿trumpet,トランペット,TO RA N PE tsu TO
﻿travel,トラヴェル,TO RA VU e RU
﻿triennale,トリエンナール,TO RI E N NA - RU
﻿trio,トリオ,TO RI O
﻿trigger,トリガー,TO RI GA -
﻿tricot,トリコット,TO RI KO tsu TO
﻿tricolor,トリコロール,TO RI KO RO - RU
﻿tricky,トリッキー,TO RI tsu KI -
﻿trick,トリック,TO RI tsu KU
﻿trickster,トリックスター,TO RI tsu KU SU TA -
﻿trick play,トリックプレー,TO RI tsu KU PU RE -
﻿trick work,トリックワーク,TO RI tsu KU WA - KU
﻿tripping,トリッピング,TO RI tsu PI N GU
﻿trip,トリップ,TO RI tsu PU
﻿trip meter,トリップメーター,TO RI tsu PU ME - TA -
﻿Tripper,トリッペル,TO RI tsu PE RU
﻿tribune,トリビューン,TO RI BI yu - N
﻿triple play,トリプルプレー,TO RI PU RU PU RE -
﻿trimmer,トリマー,TO RI MA -
﻿trim,トリム,TO RI MU
﻿trill,トリル,TO RI RU
﻿trilemma,トリレンマ,TO RI RE N MA
﻿torque,トルク,TO RU KU
﻿torque converter,トルクコンバーター,TO RU KU KO N BA - TA -
﻿torso,トルソー,TO RU SO -
﻿tortilla,トルティーヤ,TO RU TE i - YA
﻿tornado,トルネード,TO RU NE - DO
﻿tray,トレー,TO RE -
﻿tracer,トレーサー,TO RE - SA -
﻿tracing,トレーシング,TO RE - SI N GU
﻿tracing paper,トレーシングペーパー,TO RE - SI N GU PE - PA -
﻿trace,トレース,TO RE - SU
﻿trader,トレーダー,TO RE - DA -
﻿trading,トレーディング,TO RE - DE i N GU
﻿trading company,トレーディングカンパニー,TO RE - DE i N GU KA N PA NI -
﻿trade,トレード,TO RE - DO
﻿trade show,トレードショウ,TO RE - DO SI yo U
﻿trademark,トレードマーク,TO RE - DO MA - KU
﻿trade money,トレードマネー,TO RE - DO MA NE -
﻿trailer house,トレーラーハウス,TO RE - RA - HA U SU
﻿trailer bus,トレーラーバス,TO RE - RA - BA SU
﻿trail bike,トレールバイク,TO RE - RU BA I KU
﻿train,トレーン,TO RE - N
﻿toreador,トレアドル,TO RE A DO RU
﻿trekker,トレッカー,TO RE tsu KA -
﻿tread,トレッド,TO RE tsu DO
﻿trench coat,トレンチコート,TO RE N TI KO - TO
﻿trendy,トレンディー,TO RE N DE i -
﻿trend,トレンド,TO RE N DO
﻿troche,トローチ,TO RO - TI
﻿trawling,トローリング,TO RO - RI N GU
﻿trawl,トロール,TO RO - RU
﻿Troy,トロイ,TO RO I
﻿troika,トロイカ,TO RO I KA
﻿Tholoide,トロイデ,TO RO I DE
﻿trot,トロット,TO RO tsu TO
﻿trophy,トロフィー,TO RO HU i -
﻿Toronto,トロント,TO RO N TO
﻿trombone,トロンボーン,TO RO N BO - N
﻿twilight,トワイライト,TO WA I RA I TO
﻿you and I,トワエモア,TO WA E MO A
﻿toilette,トワレット,TO WA RE tsu TO
﻿tongs,トング,TO N GU
﻿tunnel,トンネル,TO N NE RU
﻿tunnel diode,トンネルダイオード,TO N NE RU DA I O - DO
﻿dawk,ドーク,DO - KU
﻿doping,ドーピング,DO - PI N GU
﻿dope check,ドープチエック,DO - PU TI E tsu KU
﻿Doberman,ドーベルマン,DO - BE RU MA N
﻿Dobermann Pinscher,ドーベルマンピンシェル,DO - BE RU MA N PI N SI e RU
﻿dormer window,ドーマーウインドー,DO - MA - U I N DO -
﻿dome,ドーム,DO - MU
﻿doomsday,ドームズデー,DO - MU ZU DE -
﻿Doria,ドーリア,DO - RI A
﻿dole queue,ドールキュー,DO - RU KI yu -
﻿doors,ドアーズ,DO A - ZU
﻿door chain,ドアチェーン,DO A TI e - N
﻿door check,ドアチェック,DO A TI e tsu KU
﻿door boy,ドアボーイ,DO A BO - I
﻿doormat,ドアマット,DO A MA tsu TO
﻿doorman,ドアマン,DO A MA N
﻿Deutschmark,ドイツマルク,DO I TU MA RU KU
﻿doily,ドイリー,DO I RI -
﻿dwelling,ドゥエリング,DO u E RI N GU
﻿dwell,ドエル,DO E RU
﻿doggie bag,ドギーバッグ,DO GI - BA tsu GU
﻿doctor,ドクター,DO KU TA -
﻿doctor course,ドクターコース,DO KU TA - KO - SU
﻿doctrine,ドクトリン,DO KU TO RI N
﻿dogma,ドグマ,DO GU MA
﻿dogmatist,ドグマチスト,DO GU MA TI SU TO
﻿dogmatic,ドグマチック,DO GU MA TI tsu KU
﻿doeskin,ドスキン,DO SU KI N
﻿thud,ドタン,DO TA N
﻿docking,ドッキング,DO tsu KI N GU
﻿dock,ドック,DO tsu KU
﻿dogfight,ドッグファイト,DO tsu GU HU a I TO
﻿dodge ball,ドッジボール,DO tsu ZI BO - RU
﻿dot,ドット,DO tsu TO
﻿dot printer,ドットプリンター,DO tsu TO PU RI N TA -
﻿dot map,ドットマップ,DO tsu TO MA tsu PU
﻿dot matrix,ドットマトリックス,DO tsu TO MA TO RI tsu KU SU
﻿donor,ドナー,DO NA -
﻿domain,ドメイン,DO ME I N
﻿domestic,ドメスチック,DO ME SU TI tsu KU
﻿de Morgan,ドモルガン,DO MO RU GA N
﻿dry ice,ドライアイス,DO RA I A I SU
﻿dry curry,ドライカレー,DO RA I KA RE -
﻿dry cleaning,ドライクリーニング,DO RA I KU RI - NI N GU
﻿dry shaving,ドライシェービング,DO RA I SI e - BI N GU
﻿dry shampoo,ドライシャンプー,DO RA I SI ya N PU -
﻿dry gin,ドライジン,DO RA I ZI N
﻿dry suit,ドライスーツ,DO RA I SU - TU
﻿dry skin,ドライスキン,DO RA I SU KI N
﻿dry flower,ドライフラワー,DO RA I HU RA WA -
﻿drive,ドライブ,DO RA I BU
﻿drive in,ドライブイン,DO RA I BU I N
﻿driveway,ドライブウエー,DO RA I BU U E -
﻿drive serve,ドライブサーブ,DO RA I BU SA - BU
﻿dry paint,ドライペイント,DO RA I PE I N TO
﻿drypoint,ドライポイント,DO RA I PO I N TO
﻿dry milk,ドライミルク,DO RA I MI RU KU
﻿dryer,ドライヤー,DO RA I YA -
﻿drag,ドラッグ,DO RA tsu GU
﻿drugstore,ドラッグストア,DO RA tsu GU SU TO A
﻿drag race,ドラッグレース,DO RA tsu GU RE - SU
﻿draft,ドラフト,DO RA HU TO
﻿draft beer,ドラフトビール,DO RA HU TO BI - RU
﻿drummer,ドラマー,DO RA MA -
﻿drum,ドラム,DO RA MU
﻿drum machine,ドラムマシーン,DO RA MU MA SI - N
﻿dolly,ドリー,DO RI -
﻿dreamer,ドリーマー,DO RI - MA -
﻿dreamy,ドリーミー,DO RI - MI -
﻿dreaming,ドリーミング,DO RI - MI N GU
﻿dream,ドリーム,DO RI - MU
﻿doria,ドリア,DO RI A
﻿drip coffee,ドリップコーヒー,DO RI tsu PU KO - HI -
﻿drifter,ドリフター,DO RI HU TA -
﻿drill,ドリル,DO RI RU
﻿drink,ドリンク,DO RI N KU
﻿dolce,ドルチェ,DO RU TI e
﻿Dolby,ドルビー,DO RU BI -
﻿dolman sleeve,ドルマンスリーブ,DO RU MA N SU RI - BU
﻿dolmen,ドルメン,DO RU ME N
﻿drape,ドレープ,DO RE - PU
﻿drain,ドレイン,DO RE I N
﻿dress,ドレス,DO RE SU
﻿dress up,ドレスアップ,DO RE SU A tsu PU
﻿dress shirt,ドレスシャツ,DO RE SU SI ya TU
﻿dress suit,ドレススーツ,DO RE SU SU - TU
﻿dressmaker,ドレスメーカー,DO RE SU ME - KA -
﻿dresser,ドレッサー,DO RE tsu SA -
﻿dressy,ドレッシー,DO RE tsu SI -
﻿dressing,ドレッシング,DO RE tsu SI N GU
﻿dressing room,ドレッシングルーム,DO RE tsu SI N GU RU - MU
﻿draw,ドロー,DO RO -
﻿drawing,ドローイング,DO RO - I N GU
﻿draw ball,ドローボール,DO RO - BO - RU
﻿drawn game,ドローンゲーム,DO RO - N GE - MU
﻿drawnwork,ドローンワーク,DO RO - N WA - KU
﻿drop,ドロップ,DO RO tsu PU
﻿dropout,ドロップアウト,DO RO tsu PU A U TO
﻿drop goal,ドロップゴール,DO RO tsu PU GO - RU
﻿drawn game,ドロンゲーム,DO RO N GE - MU
﻿drawnwork,ドロンワーク,DO RO N WA - KU
﻿donkey,ドンキー,DO N KI -
﻿sunday,ドンタク,DO N TA KU
﻿Don Juan,ドンファン,DO N HU a N
